Nothing	ID	Sentiment	Tweet	Time
NA	16	positive	we get an extra day tomorrow. this must be cause for something special :)	Mon Feb 29 01:41:50 +0000 2016
NA	17	neutral	https://t.co/SBICjNXfd1	Sun Feb 28 00:33:42 +0000 2016
NA	18	neutral	https://t.co/r4G6GIDhBP	Sat Feb 27 18:13:20 +0000 2016
NA	19	positive	These astonishingly lifelike sculptures will take your breath away https://t.co/SeF5SvEvm0 via @	Sat Feb 27 17:04:43 +0000 2016
NA	20	positive	i like girls a little 'snakes and snails,' and boys a little 'sugar and spice."	Fri Feb 26 22:48:58 +0000 2016
NA	21	neutral	chasing the sunset https://t.co/GkiqiWESR6	Fri Feb 26 22:12:33 +0000 2016
NA	22	neutral	https://t.co/x9GCUqlSoc	Fri Feb 26 15:54:02 +0000 2016
NA	23	positive	RT @feelgoodsj: The Hive is stocked with fresh beeswax! Dripped pillars, tealights, tapers, votives and even wee birthday candles. https://…	Fri Feb 26 14:32:04 +0000 2016
NA	24	negative	i couldn't find @HanceCBC on the radio this morning..almost panic state	Fri Feb 26 12:44:12 +0000 2016
NA	25	neutral	mister rob zombie.  fascinating portrait by j. l. clendanin  ...https://t.co/0LBfRQHVfh https://t.co/o1gUBfbLVx	Fri Feb 26 03:02:09 +0000 2016
NA	26	positive	Explosive Dance Portraits Reveal the Powerful Movements of Elegant Dancers https://t.co/yiUEt2GcrN	Fri Feb 26 02:44:39 +0000 2016
NA	27	neutral	https://t.co/eaJwu2AozJ	Fri Feb 26 00:49:19 +0000 2016
NA	28	positive	nice #chopchopsj dinner date with the ladies @RottenVixen @megzzzryan @chaotic_beauty, alexis &amp; lisa.. @Decimal81 delish!!	Thu Feb 25 23:52:45 +0000 2016
NA	29	neutral	RT @restot50: https://t.co/tT3m6eJGHB	Thu Feb 25 20:54:44 +0000 2016
NA	30	neutral	https://t.co/j8LNKJyA0s	Thu Feb 25 16:31:15 +0000 2016
NA	31	neutral	18 men over 40 who can still make you go weak at the knees https://t.co/qH45jg5nP6 via @	Thu Feb 25 04:03:06 +0000 2016
NA	32	positive	@Acadien1755 @ItalianbyNight @chopchopsj I think I saw you there.  nice evening :)	Thu Feb 25 01:40:25 +0000 2016
NA	33	positive	thank you abby and lydia and @ItalianbyNight #chopchopsj good wine..good food.  excellent wed evening uptown	Thu Feb 25 01:03:43 +0000 2016
NA	34	positive	@pryan2112 i pretty much knew that	Wed Feb 24 19:40:54 +0000 2016
NA	35	negative	@pryan2112 it is a strange mix.  some i would love to see too, though..	Wed Feb 24 19:40:20 +0000 2016
NA	36	positive	@pryan2112 not brad paisley? ;)	Wed Feb 24 19:39:23 +0000 2016
NA	37	positive	@pryan2112 have you seen this?  any better? https://t.co/YtQ4OsTqL7	Wed Feb 24 19:36:40 +0000 2016
NA	38	neutral	RT @SavoirFail: I'm "can no longer watch the news" years old.	Wed Feb 24 19:19:34 +0000 2016
NA	39	neutral	RT @TIFF_NET: We opened up the pantry and served up 6 of the most carnal food moments on film https://t.co/r27eJzswJR https://t.co/rCUFRa7P…	Wed Feb 24 18:33:36 +0000 2016
NA	40	neutral	The 20 greatest movies according to Quentin Tarantino https://t.co/CvygEQ2TAO	Wed Feb 24 18:25:14 +0000 2016
NA	41	positive	Now THIS Is A Great Commercial https://t.co/fUjqyZBzmf via @jspector	Wed Feb 24 18:12:09 +0000 2016
NA	42	neutral	https://t.co/yjsKfuaJ9D	Wed Feb 24 17:24:57 +0000 2016
NA	43	neutral	ELLIOTT BROOD - "Little Ones" [Paper Bag Sessions 015 | Pt. 001] https://t.co/Re28Tf7Xss  @ElliottBROOD	Wed Feb 24 15:21:10 +0000 2016
NA	44	neutral	eating my eggs this morning https://t.co/HWcTOXl9rg	Wed Feb 24 11:47:17 +0000 2016
NA	45	neutral	RT @gridcitymag: Got An Old Digital Camera Collecting Dust? https://t.co/46ZgajynbD @beaverbrookAG @CityFredCulture @CSArtsCentre https://t…	Wed Feb 24 11:26:50 +0000 2016
NA	46	neutral	RT @johnpavlovitz: A Letter From a Backsliding, Prodigal Heretic, To My Christian Friends Still on the Inside https://t.co/GeYVvQu7BN	Tue Feb 23 15:51:22 +0000 2016
NA	47	positive	couldn't resist snapping a couple shots of this cuteness.  we're all feeling spring lately. credit @morgankatemagee https://t.co/uyUi3RQ3Hc	Tue Feb 23 15:38:03 +0000 2016
NA	48	neutral	https://t.co/1YHsRIC7Zi	Tue Feb 23 13:32:10 +0000 2016
NA	49	positive	@scarlet_dy awww...jules!  thank you.  miss you!!! xo	Tue Feb 23 13:07:11 +0000 2016
NA	50	negative	RT @openculture: Hear Russian Futurist Vladimir Mayakovsky Read His Strange &amp; Visceral Poetry 100 Years Ago https://t.co/Ih5FFzj4QU https:/…	Tue Feb 23 01:12:15 +0000 2016
NA	51	neutral	https://t.co/JGnyQPe3sC	Tue Feb 23 01:06:59 +0000 2016
NA	52	positive	RT @coach_Doyle: 12 tips from the mentally strong. Get the week started right.#mondaymotivation https://t.co/v7T0caI9PH	Mon Feb 22 19:59:38 +0000 2016
NA	53	neutral	marlon brando https://t.co/QU5KOuBmC3	Sun Feb 21 23:27:17 +0000 2016
NA	54	positive	i often think it can't be right to put our own happiness before everything. balance is important. good perspective.. https://t.co/qS07OpOXqo	Sun Feb 21 23:00:08 +0000 2016
NA	55	positive	26-Year-Old Neil Young Performs “Old Man,” And It’s Absolutely Breathtaking https://t.co/rgGNp6alGW	Sun Feb 21 22:40:03 +0000 2016
NA	56	positive	worth a try.. https://t.co/8EYdMptAsN	Sun Feb 21 13:59:47 +0000 2016
NA	57	neutral	https://t.co/trgDLiD92w	Sun Feb 21 13:27:41 +0000 2016
NA	58	negative	RT @PhilMoscovitch: 2) Relatibility does not encourage empathy. You encourage empathy by understanding characters you can't easily relate t…	Sat Feb 20 14:55:44 +0000 2016
NA	59	negative	RT @PhilMoscovitch: 1) Relatibility is a recent fad &amp; not desirable in fiction: "I'm pretty sure nobody can relate to Captain Ahab in Moby …	Sat Feb 20 14:55:41 +0000 2016
NA	60	neutral	Unmasking the bear in The Revenant - The stuntman who mauls Leonardo DiCaprio https://t.co/R5ZWNTM70t	Sat Feb 20 14:49:21 +0000 2016
NA	61	negative	this is so freaking funny https://t.co/25VjYyVTV0  *instagram husband #instagram	Sat Feb 20 14:22:11 +0000 2016
NA	62	positive	incredible street photography.  ..The unchanging streets of Hasidic South Williamsburg—PHOTOS: https://t.co/V2Njw7Vn1J	Fri Feb 19 14:12:09 +0000 2016
NA	63	neutral	https://t.co/WtMm78FHrM	Fri Feb 19 13:25:25 +0000 2016
NA	64	neutral	Large-Scale Oil Paintings of Celebrities Created with Boldly Textured Brushstrokes https://t.co/9by0vGB9zk	Fri Feb 19 13:22:46 +0000 2016
NA	65	negative	this is brutal funny. fwd to about 7:45 to skip the prelude.  sean evans &amp; chili klaus eat the worlds hottest pepper https://t.co/1QGRqQSyZ1	Fri Feb 19 03:20:43 +0000 2016
NA	66	negative	if you can't keep it real, keep it.	Fri Feb 19 01:41:10 +0000 2016
NA	67	positive	*playing  @AudFan  ..the challenges of being a mom of a 21 year old ;)	Thu Feb 18 22:44:23 +0000 2016
NA	68	negative	hell is petty much waiting in ardene with club dance mix plays	Thu Feb 18 22:27:07 +0000 2016
NA	69	positive	i like @BenHarper but, he really needs to at least glance up when he is performing https://t.co/XzezmCEwwr #pinkballoon	Thu Feb 18 18:42:04 +0000 2016
NA	70	negative	Homeless Man Kicked Out of Music Venue Was Actually ROB ZOMBIE https://t.co/p2fkNyQY6k	Thu Feb 18 18:40:15 +0000 2016
NA	71	neutral	https://t.co/R4CjidrMHb @thelumineers #Ophelia	Thu Feb 18 13:54:54 +0000 2016
NA	72	negative	RT @MrLXC: You'll never truly understand someone's feelings until you've experienced what they have.	Thu Feb 18 13:54:25 +0000 2016
NA	73	neutral	https://t.co/NEsvdIbLuC	Thu Feb 18 04:00:18 +0000 2016
NA	74	neutral	https://t.co/NZuJ0HNGet	Thu Feb 18 01:52:59 +0000 2016
NA	75	positive	RT @MartaEffing: And then she dusted herself off, and kept right on going.	Thu Feb 18 01:19:17 +0000 2016
NA	76	neutral	Gritty and soulful portraits of Philly residents on their stoops in the early 1900s https://t.co/FLHblHKaF1 via @mashable	Wed Feb 17 03:30:27 +0000 2016
NA	77	neutral	https://t.co/EpGyg4ino8	Wed Feb 17 03:22:31 +0000 2016
NA	78	positive	a good heart will always be a good heart	Wed Feb 17 02:29:38 +0000 2016
NA	79	positive	'it's like eating a mermaid' #dondraper	Wed Feb 17 01:23:36 +0000 2016
NA	80	neutral	https://t.co/sUb362If2T	Tue Feb 16 23:57:16 +0000 2016
NA	81	neutral	https://t.co/ZhpefedLcH	Tue Feb 16 23:16:34 +0000 2016
NA	82	neutral	RT @coslive: Hear @TomWaits cover two Blind Willie Johnson songs for a new tribute album: https://t.co/gNVW7Z4tn0 https://t.co/rbn8xYEgyQ	Tue Feb 16 13:46:25 +0000 2016
NA	83	positive	RT @oldpicsarchive: Scottish Chimney Sweep (1860s) / Best of OldPicsArchive Part 1 https://t.co/Sya0d9gsZa https://t.co/7Gu09HSGj2	Tue Feb 16 13:07:43 +0000 2016
NA	84	positive	RT @highchairkings: What’s love got to do… got to do with it?	Tue Feb 16 04:19:19 +0000 2016
NA	85	positive	@barben2 ..thank you.	Tue Feb 16 02:51:28 +0000 2016
NA	86	positive	a basic empathy for humanity #brotherwest	Tue Feb 16 01:45:50 +0000 2016
NA	87	negative	conversations are way too heavy.  would love to tumble down the rabbit hole for awhile.	Tue Feb 16 01:25:58 +0000 2016
NA	88	neutral	https://t.co/KkRngtPItu	Mon Feb 15 17:16:40 +0000 2016
NA	89	positive	this photo has my thought process looping in a tortured twilight zone.. ;) please fix it. @unmarketing https://t.co/DkshFC5iSC	Mon Feb 15 02:20:22 +0000 2016
NA	90	neutral	'way over yonder' https://t.co/k8mOznEDdx  in a mellow #carolking mood tonight.	Mon Feb 15 01:31:57 +0000 2016
NA	91	neutral	https://t.co/B93lN2ZchG	Sun Feb 14 20:49:28 +0000 2016
NA	92	positive	one of the biggest personalities in the city.. the old north end: https://t.co/biSd748jHT @matthewsherwood brilliant gallery, sir	Sat Feb 13 19:33:42 +0000 2016
NA	93	neutral	RT @ThatVividSmoke: http://t.co/qcja8P4uGK	Sat Feb 13 13:21:02 +0000 2016
NA	94	neutral	https://t.co/jyj08OTP1I	Fri Feb 12 21:41:02 +0000 2016
NA	95	neutral	https://t.co/QqSRjyncsB	Fri Feb 12 21:38:18 +0000 2016
NA	96	positive	almost one year and feeling it  Keaton Henson - Sweetheart, What Have You Done To Us https://t.co/lGdQLT8KGG	Fri Feb 12 19:58:43 +0000 2016
NA	97	positive	legends never die	Fri Feb 12 17:30:47 +0000 2016
NA	98	neutral	RT @Ms_Golightly: #BjörnBorg &amp; #JohnMcEnroe https://t.co/PodI6WIW8L	Fri Feb 12 15:25:59 +0000 2016
NA	99	positive	this is almost too beautiful to bear https://t.co/GACVL0YEEX	Fri Feb 12 00:09:49 +0000 2016
NA	100	neutral	https://t.co/zzr1XPixuW	Thu Feb 11 21:37:53 +0000 2016
NA	101	neutral	The world's first surviving septuplets turn 18 https://t.co/j6tnGaPS9o	Thu Feb 11 17:58:03 +0000 2016
NA	102	positive	cozy wednesday night https://t.co/CsaNAQXVyR	Thu Feb 11 03:26:55 +0000 2016
NA	103	positive	well, i had a LOT of after-eights today	Wed Feb 10 21:49:54 +0000 2016
NA	104	positive	love this.  Jason Collett - Song And Dance Man [Official Video] https://t.co/ffBSTqyazy via @YouTube	Wed Feb 10 20:01:37 +0000 2016
NA	105	neutral	RT @mashable: Periodic table crayons put the elements at your fingertips. https://t.co/1vbdMjbxWS https://t.co/QKFahcMkdH	Wed Feb 10 16:12:11 +0000 2016
NA	106	negative	RT @liveinlimbo: Watch our recent interview with @NRateliff! He's performing at @WayHomeFestival! #WayHomehttps://t.co/MJFOJ8aJ7K https://…	Wed Feb 10 15:03:38 +0000 2016
NA	107	positive	well done, @AllanGates1 and lise!  Maritimes duo feed a hunger for small-business news https://t.co/m0sQ6UjUYX	Wed Feb 10 15:02:46 +0000 2016
NA	108	neutral	https://t.co/CDbFppicyb	Wed Feb 10 03:54:38 +0000 2016
NA	109	negative	RT @greg_vee: Anything can look like evidence if it supports your delusions.	Wed Feb 10 02:29:00 +0000 2016
NA	110	positive	only humane, in my opinion.  finally.  https://t.co/64Ayz35mmt	Wed Feb 10 01:08:22 +0000 2016
NA	111	neutral	RT @pop_ancapop: Elvis and Priscilla Presley leaving Las Vegas after their wedding in 1967#Old Photo Archive https://t.co/k7JPoTQnms	Tue Feb 09 23:55:43 +0000 2016
NA	112	neutral	Watch “Guitars in The End” on @Vimeo https://t.co/uutimAu6FT	Tue Feb 09 21:26:17 +0000 2016
NA	113	positive	hey @waynejagoe, very nice to meet you today.  a weeks worth of smiles ;)	Tue Feb 09 20:12:45 +0000 2016
NA	114	negative	'it's not a cross, it is a choicei cannot help but hear his voicei only wish that I could listen without shame'  ~am	Tue Feb 09 13:57:48 +0000 2016
NA	115	positive	old hollywood, paul newman.  looks a bit like matthew mcconaughey https://t.co/S4BsJdUomL	Mon Feb 08 17:34:05 +0000 2016
NA	116	neutral	Forty years ago, Pink Floyd released ‘Wish You Were Here’ https://t.co/QDiIGQ1AqS	Mon Feb 08 16:06:57 +0000 2016
NA	117	neutral	RT @History_Pics: Cher, 1969 https://t.co/5X3P2WQdaG	Mon Feb 08 02:25:28 +0000 2016
NA	118	neutral	https://t.co/bMUuW1imYI	Mon Feb 08 02:22:15 +0000 2016
NA	119	neutral	highway sunset https://t.co/hLiuzcBoMb	Sun Feb 07 21:45:49 +0000 2016
NA	120	negative	'it's the reckless moments that we hold close to our hearts' #vinylcafe	Sun Feb 07 16:54:18 +0000 2016
NA	121	positive	super sensative to subtle implications	Sun Feb 07 15:01:46 +0000 2016
NA	122	neutral	RT @seanvernon: https://t.co/W5XoJzucpb	Sun Feb 07 14:15:49 +0000 2016
NA	123	neutral	I just used Shazam to discover Bye Bye Blackbird by Diana Krall. https://t.co/hcQtpH2IEc	Sun Feb 07 01:18:10 +0000 2016
NA	124	neutral	Beth Hart &amp; Joe Bonamassa - I'll Take Care Of You (Radio Edit) https://t.co/rGl75LwuY1 via @YouTube	Sat Feb 06 23:05:41 +0000 2016
NA	125	positive	RT @NewYorker: New Orleans Mardi Gras through the eyes of a great New York street photographer: https://t.co/qaAEAqB34A	Sat Feb 06 20:28:49 +0000 2016
NA	126	positive	todays guilty pleasure moment..  https://t.co/0XCDXi92tR	Sat Feb 06 18:39:43 +0000 2016
NA	127	positive	as much as i dislike waking up early, i love catching the beautiful sunrise dawn of a new day.	Sat Feb 06 14:36:21 +0000 2016
NA	128	neutral	shan, you should follow @mtlblog @shannonmagee	Fri Feb 05 17:59:46 +0000 2016
NA	129	neutral	Montreal Bagel Shop Now Sells “Rainbow Bagels” https://t.co/sgW5r68qNV via @MTLBlog	Fri Feb 05 17:54:59 +0000 2016
NA	130	positive	okay, they DO wake up like that ;)...photographer captures fascinating photos of famous men early in the morning https://t.co/fjVfYJTr4n	Fri Feb 05 01:42:47 +0000 2016
NA	131	positive	brilliant ♡♡ https://t.co/kZT8fJJ0Iy	Thu Feb 04 22:37:28 +0000 2016
NA	132	neutral	I just used Shazam to discover Kiss by Tony DeSare. https://t.co/0HDMm8Qkcg	Thu Feb 04 22:11:50 +0000 2016
NA	133	positive	@frogspadca @happinezwine could get messy. fun. :)	Thu Feb 04 19:11:54 +0000 2016
NA	134	neutral	RT @oldpicsarchive: Elton John showing off some of his shoes. https://t.co/81pHd1zhnQ https://t.co/jd0JvuiONd	Thu Feb 04 19:10:50 +0000 2016
NA	135	neutral	Flume &amp; Chet Faker - Drop the Game [Official Music Video] https://t.co/5HMUpvxUBU via @YouTube	Thu Feb 04 19:00:46 +0000 2016
NA	136	neutral	I just used Shazam to discover This Is Sally Hatchet by Father John Misty. https://t.co/uUDDqmT0GE	Thu Feb 04 17:59:04 +0000 2016
NA	137	positive	MeUndies feat #KeithHaring why not?  @MeUndies  https://t.co/n0Dx1MPF78	Thu Feb 04 14:40:41 +0000 2016
NA	138	neutral	hey @CorbLund, sir.  when will you be returning to the east coast?	Thu Feb 04 14:35:39 +0000 2016
NA	139	positive	RT @rooftopsj: Join the family at 6:00pm for dinner. Always a great spread, with great people, around great conversations. https://t.co/rSS…	Thu Feb 04 14:26:09 +0000 2016
NA	140	positive	loving this foggy, sultry morning	Thu Feb 04 11:53:12 +0000 2016
NA	141	neutral	RT @kramone: New recipes being tested @sjah_nb #thevegchef milk burger buns https://t.co/YhxvGcfDDx	Thu Feb 04 02:19:08 +0000 2016
NA	142	neutral	sometimes the city's just too small for two	Thu Feb 04 01:26:39 +0000 2016
NA	143	negative	not good.  apparently it isn't only the pc's who cut into arts/culture https://t.co/QdumQAlcIv	Wed Feb 03 17:26:16 +0000 2016
NA	144	positive	RT @My_Waterfront: Lots of #Dartmouth love in this year's #Juno nominations. #JoelPlaskett #MoKenney https://t.co/WQwI5ZgjYh https://t.co/l…	Wed Feb 03 14:17:08 +0000 2016
NA	145	negative	the undeniable, infinate truth which exists only in that never being, not of this world, detached but forever real space	Wed Feb 03 14:13:12 +0000 2016
NA	146	neutral	https://t.co/iwF9yfqkZF	Wed Feb 03 04:09:14 +0000 2016
NA	147	neutral	RT @brundle_fly: Do we need a higher standard of politicians, or a higher standard of voters?	Wed Feb 03 01:56:23 +0000 2016
NA	148	neutral	@brundle_fly or both	Wed Feb 03 01:56:18 +0000 2016
NA	149	positive	visually incredible #coldplay 'hymn for the weekend' https://t.co/lYz6Jn9yBR	Wed Feb 03 01:03:41 +0000 2016
NA	150	negative	i'll take whatever isn't the flavor of the month	Tue Feb 02 22:48:42 +0000 2016
NA	151	positive	RT @intothecrevasse: Annie Leibovitz: Okay, looking great, now kinda sexily angle yourself toward me...Diane Keaton: I'm Diane Keaton! htt…	Tue Feb 02 20:44:53 +0000 2016
NA	152	neutral	https://t.co/9xmNEf6PKA	Tue Feb 02 01:45:29 +0000 2016
NA	153	positive	@cbmackay ..probably just special for you ;)	Tue Feb 02 01:39:00 +0000 2016
NA	154	neutral	'sex and candy' #marcyplayground acoustic  https://t.co/hfu068yIuO	Mon Feb 01 02:03:03 +0000 2016
NA	155	positive	no apologies for this. if you don't like cheesy, cookie-cutter new country, don't watch. https://t.co/Z2OiHg3PPq ..i actually like it :)	Mon Feb 01 00:25:15 +0000 2016
NA	156	positive	it's in the works :)  https://t.co/9F1GuBEdIU	Sun Jan 31 20:33:02 +0000 2016
NA	157	neutral	'fade into you'  #mazzystar https://t.co/gmfJXjlpay	Sun Jan 31 19:26:31 +0000 2016
NA	158	positive	@shannonmagee ..you are so much like your mother ;)	Sun Jan 31 17:28:01 +0000 2016
NA	159	neutral	I just used Shazam to discover Start A War by The National. https://t.co/urIAH1bnTZ	Sun Jan 31 01:48:20 +0000 2016
NA	160	neutral	https://t.co/3oFDlK3m4r	Sat Jan 30 22:40:24 +0000 2016
NA	161	positive	i'm sorry ;)  https://t.co/Rzh5dKeKgX	Sat Jan 30 22:02:17 +0000 2016
NA	162	negative	if i have to ask for it, i don't want it	Sat Jan 30 21:30:47 +0000 2016
NA	163	neutral	https://t.co/o8RpwA9XCK	Sat Jan 30 15:30:48 +0000 2016
NA	164	positive	Living like it’s 1950 with America's rockabillies: https://t.co/tStoO62eX9 via @slate	Sat Jan 30 05:08:46 +0000 2016
NA	165	neutral	https://t.co/ILyAIhkQkl	Sat Jan 30 03:21:12 +0000 2016
NA	166	positive	so, this is the first time i've heard tom hardy speak outside of character. only watched 2 mins and had to share.wow https://t.co/bFmuUBEyQq	Sat Jan 30 02:30:51 +0000 2016
NA	167	neutral	Jack White, Avett Brothers Premiere 'American Epic' Doc at Sundance 2016 https://t.co/cCFOuGaebp via @rollingstone	Fri Jan 29 20:25:09 +0000 2016
NA	168	positive	really looking fwd to finally seeing @craigcardiff live.  this gent is the real deal, sj will be lucky next thurs pm https://t.co/YGL0swvUDF	Fri Jan 29 15:28:34 +0000 2016
NA	169	positive	sometimes love is exceptional	Fri Jan 29 11:58:38 +0000 2016
NA	170	negative	as soon as you begin to tell me all of the places you've travelled, i lose interest.	Fri Jan 29 01:42:14 +0000 2016
NA	171	neutral	get past the too-tight pea coat.. every story has at least two sides https://t.co/PcInVhYXjq	Fri Jan 29 01:23:05 +0000 2016
NA	172	negative	found an old camera card.  that always makes for a brutally emotional ride.	Fri Jan 29 01:09:02 +0000 2016
NA	173	neutral	RT @sculpturesj: Feature sculptor Jim Boyd from Hampton @PortSaintJohn https://t.co/eJkEdrsTnU	Fri Jan 29 00:35:10 +0000 2016
NA	174	positive	yeah, it would be great if someone could read my mind	Fri Jan 29 00:06:08 +0000 2016
NA	175	neutral	too much coddling in the world these days https://t.co/UGHylthO7Y	Fri Jan 29 00:02:04 +0000 2016
NA	176	neutral	RT @Ms_Golightly: #CatStevens, London, 1970's https://t.co/X1dKSqNnRq	Thu Jan 28 23:43:56 +0000 2016
NA	177	neutral	check this out, @shannonmagee .. @StPaulHotel	Thu Jan 28 23:43:37 +0000 2016
NA	178	neutral	https://t.co/UrIMdSQVmG	Thu Jan 28 20:15:39 +0000 2016
NA	179	neutral	everything is bringing me down today	Wed Jan 27 19:20:29 +0000 2016
NA	180	neutral	Jackson Browne Takes Steady, Solemn 'Long Way Around' on 'Colbert' https://t.co/jDh19IYyAN	Wed Jan 27 02:11:22 +0000 2016
NA	181	neutral	https://t.co/VYc3udvRjB	Wed Jan 27 01:39:48 +0000 2016
NA	182	positive	very nice, mel :) https://t.co/k6JnieCbKk	Wed Jan 27 01:29:48 +0000 2016
NA	183	positive	true love is only deniable for practicality sake https://t.co/noEPeJJSdc	Wed Jan 27 01:24:24 +0000 2016
NA	184	negative	RT @peopleofhalifax: Russian textile artist Yulia Ustinova and her fucking amazing figurative work(these just blow me away) https://t.co/c…	Wed Jan 27 01:10:14 +0000 2016
NA	185	neutral	this is like some twisted dimension in nightmareland.  reminds me of the beginning of the movie #theinterview. https://t.co/cbPT3hqfEX	Tue Jan 26 22:35:29 +0000 2016
NA	186	negative	just changed a windshield wiper for the first time in my life.  '..one small step for a man, one giant leap for mankind'	Tue Jan 26 21:34:21 +0000 2016
NA	187	positive	charm and charisma gloss over truth.  some people even fool themselves.	Tue Jan 26 19:29:49 +0000 2016
NA	188	neutral	RT @cbcasithappens: Oh my darlin', you need to listen to Boonie's beard interview: https://t.co/3j9PolSyiK https://t.co/xf3v9kJurW	Tue Jan 26 15:43:33 +0000 2016
NA	189	negative	sometimes enough isn't enough	Mon Jan 25 22:22:58 +0000 2016
NA	190	neutral	STOMP makes basketball music with Harlem Globetrotters https://t.co/oqXJVT5WFp	Mon Jan 25 20:05:02 +0000 2016
NA	191	positive	thank you, julia, for giving some deserved attention to this character of characters...such a beautiful enigma. https://t.co/c8JdrTWcod	Mon Jan 25 15:38:15 +0000 2016
NA	192	neutral	RT @CrosbysMolasses: Sticky Toffee Pudding, a Valentine's  Day dessert to make you swoon. https://t.co/OVoTcZqKcP	Mon Jan 25 14:47:12 +0000 2016
NA	193	positive	fun :) https://t.co/rlIbqUl9e3	Mon Jan 25 03:36:57 +0000 2016
NA	194	neutral	I just used Shazam to discover Forgotten by An Intimate Curse. https://t.co/DNt71Z5bam	Mon Jan 25 01:37:15 +0000 2016
NA	195	neutral	Bon Iver - Towers (Official Music Video) https://t.co/5MtZ4aFHAu	Sun Jan 24 20:23:58 +0000 2016
NA	196	positive	pm justin trudeau, selfie king - https://t.co/bfgqXqz1bj 'free advertising' @davidalston	Sun Jan 24 18:38:51 +0000 2016
NA	197	negative	@davidalston oops, sorry.  wrong link.  will post the correct one in a bit	Sun Jan 24 17:59:46 +0000 2016
NA	198	neutral	https://t.co/qEBx70yD0k	Sat Jan 23 23:42:13 +0000 2016
NA	199	neutral	I just used Shazam to discover Chasing Cars (Exclusive Live Acoustic Version) by Snow Patrol. https://t.co/tEjQPG6JSN	Sat Jan 23 16:30:20 +0000 2016
NA	200	neutral	https://t.co/s7xUplirbj 'free falling' stevie nick's cover	Sat Jan 23 16:25:40 +0000 2016
NA	201	negative	clapping at a funeral?  i don't want to be disrespectful and insensitive, but this feels strange https://t.co/VzKesnJd9e	Fri Jan 22 22:10:59 +0000 2016
NA	202	neutral	melancholic, just in time for the weekend.	Fri Jan 22 18:31:33 +0000 2016
NA	203	neutral	an eye for an eye	Fri Jan 22 16:43:02 +0000 2016
NA	204	neutral	https://t.co/FODxJShP1w https://t.co/MZumiM4D9O	Fri Jan 22 03:29:33 +0000 2016
NA	205	neutral	primal and uninhibited... https://t.co/mIxiA8rVY7	Fri Jan 22 01:54:44 +0000 2016
NA	206	neutral	mme pro, despite myself	Fri Jan 22 01:47:05 +0000 2016
NA	207	neutral	https://t.co/T7Bzg6v7Kb	Fri Jan 22 01:45:47 +0000 2016
NA	208	neutral	i dare you to watch this. https://t.co/zzJ7Psi10v	Fri Jan 22 01:22:37 +0000 2016
NA	209	positive	just had the most amazing grilled 'turkey dinner sandwich' at @javamoosecoffee, Prince William St, complete w dressing.  #livelifeuptown	Thu Jan 21 16:55:07 +0000 2016
NA	210	positive	'and I’ll do my best just to forget..'  Amos Lee - Chill In The Air (1 Mic 1 Take) https://t.co/BRTflERH94	Thu Jan 21 14:56:25 +0000 2016
NA	211	negative	RT @seguincbc: not sure I like the fixation on "star power" and celebrity schtick	Thu Jan 21 11:44:09 +0000 2016
NA	212	positive	i must say, we do have one incredibly sexy library uptown! check their fb/twitter/programs..&amp; books :) @SaintJohnFPL https://t.co/9xDXLvATui	Thu Jan 21 02:15:40 +0000 2016
